Building_Number,Building_Name,Building,State,A10_Cleaning,A30_Utilities_Fuel,A40_Mechanic_Oper_Maint,Grand_Total,Overall_Satisfaction,Occupancy,Building_Sq_Ft
NY0282ZZ,Jacob K. Javits Fb/C,NY0282ZZ-Jacob K. Javits Fb/C,NY,6175914,8863042,7432842,22471797,4,5500,2420272
DC0459AF,Reagan Bldg Fob,DC0459AF-Reagan Bldg Fob,DC,3784131,5963968,5445658,15193757,3,700,2035880
DC0035ZZ,Dwight D. Eisenhower,DC0035ZZ-Dwight D. Eisenhower,DC,5048002,2302708,4121235,11471945,5,1000,54193
MD0778AG,Census Bureau Office,MD0778AG-Census Bureau Office,MD,3626616,2439613,3444039,9510268,5,2000,72808
NY0128ZZ,Federal Bldg--201 Va,NY0128ZZ-Federal Bldg--201 Va,NY,2701317,2474059,3691266,8866642,1,1278,921306
NY0350ZZ,Ted Weiss Federal Bu,NY0350ZZ-Ted Weiss Federal Bu,NY,2583169,3171709,3060550,8815427,2,1200,769122
DC0105ZZ,New Executive Office,DC0105ZZ-New Executive Office,DC,1911076,2800400,4018284,8729760,3,1000,34669
NY0351ZZ,Daniel P Moynihan Us,NY0351ZZ-Daniel P Moynihan Us,NY,2919851,2239978,3375846,8535676,4,550,754428
CA0154ZZ,"Phillip Burton,Fb Ct","CA0154ZZ-Phillip Burton,Fb Ct",CA,3337912,1393942,3777803,8509658,3,1334,1244602
NY0355ZZ,Alfonse M. D'Amato U,NY0355ZZ-Alfonse M. D'Amato U,NY,1875656,2674922,3135673,7686251,5,290,655527
DC0028ZZ,William Jefferson Cl,DC0028ZZ-William Jefferson Cl,DC,2395031,2538974,2395162,7329168,3,1847,73543
DC0021ZZ,Gsa,DC0021ZZ-Gsa,DC,2703651,1698428,2892512,7294592,1,3101,70433
IL0205ZZ,Everett M. Dirksen,IL0205ZZ-Everett M. Dirksen,IL,2386175,2049471,2727314,7162960,4,1200,1207187
OH0192ZZ,A J Celebrezze Fb,OH0192ZZ-A J Celebrezze Fb,OH,1974114,3898536,1278791,7151440,2,3500,1199328
MD0278ZZ,New Carrollton Fed,MD0278ZZ-New Carrollton Fed,MD,2287438,2520262,1806509,6614209,4,4376,109768
HI0011ZZ,Prince J. Kuhio Fob,HI0011ZZ-Prince J. Kuhio Fob,HI,1677672,3317343,1402425,6397440,3,1075,696210
MO0127ZZ,Richard Bolling Fb,MO0127ZZ-Richard Bolling Fb,MO,1871148,2446662,2052259,6370069,3,1650,1061293
IL0236FC,John C. Kluczynski F,IL0236FC-John C. Kluczynski F,IL,2064222,1753827,2423232,6241281,4,2000,1135757
MI0131MC,P V Mcnamara F B,MI0131MC-P V Mcnamara F B,MI,1687672,2834172,1445202,5967046,4,996,944513
MA0131ZZ,Jfk Federal Building,MA0131ZZ-Jfk Federal Building,MA,1511671,2594254,1814740,5920665,4,1939,839232
DC0083ZZ,Orville Wright,DC0083ZZ-Orville Wright,DC,2496991,1457168,1959198,5913357,3,4300,84738
DC0034ZZ,Wilbur J Cohen Bldg,DC0034ZZ-Wilbur J Cohen Bldg,DC,2090665,1355751,2331169,5777586,2,1700,104914
MA0050ZZ,John J. Moakley Cour,MA0050ZZ-John J. Moakley Cour,MA,1529969,2269102,1926631,5725702,4,600,719126
CA0281ZZ,Ronald Dellums Fed B,CA0281ZZ-Ronald Dellums Fed B,CA,2205318,1159248,2276448,5641014,4,900,900803
IN1703ZZ,Major General Emmett,IN1703ZZ-Major General Emmett,IN,3241698,988039,1073242,5302980,3,3000,1579337
DC0007ZZ,Veterans Admin,DC0007ZZ-Veterans Admin,DC,1770883,665764,2397486,4834134,3,2000,62522
GA0121ZZ,Richard B. Russell,GA0121ZZ-Richard B. Russell,GA,1318826,1542986,1684281,4546093,2,700,1037222
CA0150CC,Federal Building,CA0150CC-Federal Building,CA,1057965,1394658,2054145,4506768,4,1200,1052518
PR0017ZZ,Degetau Fb & Ruiz-Na,PR0017ZZ-Degetau Fb & Ruiz-Na,PR,988151,2441817,844473,4274441,5,50,371743
MO0095ZZ,Thomas F. Eagleton C,MO0095ZZ-Thomas F. Eagleton C,MO,1058580,1575554,1539752,4173886,5,650,954644
