Building,,,,A10 Cleaning,A30 Utilities/Fuel,A40 Mechanic Oper-Maint,Grand Total,,
AK0001ZZ-Anchorage Fed Build,,,,"$264,457","$130,570","$157,769","$552,796",,
AK0005AK-Federal,,,,"$96,703","$76,128","$131,215","$304,047",,
AK0013ZZ-Hurff A. Saunders Fb,,,,"$562,041","$473,584","$475,997","$1,511,621",,
AK0029ZZ-Federal Building,,,,"$257,227","$408,335","$295,269","$960,831",,
AK0031AA-Us Federal Building,,,,"$1,127,267","$1,124,849","$1,140,799","$3,392,915",,
AK0032AA-Fed Bld-Usch-Annex,,,,"$32,250","$6,191","$2,706","$41,147",,
AK0506AH-Alcan Land Port Of E,,,,"($40,175)","($23,301)","($66,226)","($129,703)",,
AK0514ZZ-Fed Bldg Us Po,,,,"$25,830","$17,435","$66,743","$110,007",,
AK0521AB-Dalton Cache Land Po,,,,"($6,346)","$20,544","$22,630","$36,828",,
AK0526ZZ-Skagway Land Port Of,,,,"($1,492)","($2,494)","($1,030)","($5,017)",,
AL0003AC-Frank Johnson Annex,,,,"$437,721","$593,334","$414,623","$1,445,678",,
AL0004ZZ-Fb-Ct,,,,"$42,898","$35,334","$82,230","$160,461",,
AL0005ZZ-Montgomery Bus Stati,,,,"$1,639",,"$6,529","$8,168",,
AL0007ZZ-Fb/Ct,,,,,"$4,063",,"$4,063",,
AL0010ZZ-Federal Building-Cou,,,,"$251,664","$209,981","$204,174","$665,819",,
AL0011ZZ-Robert S. Vance Fb-C,,,,"$332,597","$94,407","$437,058","$864,062",,
AL0012ZZ-Hannah House,,,,"$7,352",,"$2,673","$10,025",,
AL0019ZZ-Fb-Ct,,,,"$27,692","$26,221","$110,228","$164,140",,
AL0028ZZ-Fb-Ct,,,,"$50,021","$33,937","$65,472","$149,430",,
AL0034ZZ-Po-Ct,,,,"$90,721","$71,189","$111,702","$273,612",,
AL0039AB-John A Campbell Usct,,,,"$231,608","$168,724","$229,272","$629,604",,
"AL0043AC-F.M.Johnson,Jr. Fbct",,,,"$209,850",,"$237,333","$447,183",,
AL0046ZZ-G. W. Andrews Fb-Ct,,,,"$27,145","$29,164","$152,751","$209,060",,
AL0055ZZ-Fb Ct,,,,"$29,183","$29,228","$82,057","$140,468",,
AL0076AB-Federal Building,,,,"$373,075","$119,975","$233,898","$726,948",,
AL0077AB-Combined Parking Fac,,,,"$23,817","$18,881","$27,146","$69,845",,
AL0079ZZ-Ssa Building,,,,$858,"$9,441","$53,721","$64,020",,
AL0081ZZ-Hugo L Black Usct,,,,,,"($8,870)","($8,870)",,
AR0021ZZ-Ic Parker Courthouse,,,,"$130,730","$72,991","$186,471","$390,192",,
AR0030RK-Little Rock Uspo/Cou,,,,"$301,595","$19,185","$525,582","$846,362",,
AR0031ZZ-Little Rock Old Uspo,,,,"$125,835","$105,321","$185,175","$416,331",,
AR0057ZZ-Texarkana Uspo/Court,,,,"$102,405","$71,407","$139,126","$312,938",,
AR0062ZZ-Hot Springs Post Off,,,,"$104,027","$57,188","$160,741","$321,956",,
AR0063RK-Little Rock Federal,,,,"$499,021","$544,680","$767,581","$1,811,282",,
AR0066ZZ-Helena Post Office/C,,,,"$57,558","$48,983","$184,876","$291,417",,
AR0078ZZ-Pine Bluff Fob/Uspo/,,,,"$158,818","$117,829","$261,035","$537,681",,
AR0079ZZ-Batesville Fob/Uspo/,,,,"$76,080","$66,448","$156,219","$298,746",,
AR0082RK-Little Rock Fob/Cths,,,,"$10,768",,,"$10,768",,
AR0084ZZ-Jp Hammerschmidt Fed,,,,"$121,368","$74,263","$141,382","$337,012",,
AR0085RK-Little Rock Uspo/Cth,,,,"$288,299","$199,612","$372,290","$860,201",,
AX0200AX-Asst Reg Adm Opr R2,,,,,,($29),($29),,
AX0700AX-Asst Reg Adm Opr R7,,,,,,"$22,798","$22,798",,
AX0800AX-Asst Reg Adm Opr R8,,,,,,$840,$840,,
AX0900AX-Asst Reg Adm Opr R9,,,,,,($30),($30),,
AX1100AX-Asst Reg Adm Opr R11,,,,,"$324,904",,"$324,904",,
AZ0015ZZ-James A. Walsh Court,,,,"$130,399","$78,230","$158,803","$367,432",,
