ID,Building,,,,A10 Cleaning,A30 Utilities/Fuel,A40 Mechanic Oper-Maint,Grand Total
1,AK0001ZZ-Anchorage Fed Build,,,,264457,130570,157769,552796
2,AK0005AK-Federal,,,,96703,76128,131215,304047
3,AK0013ZZ-Hurff A. Saunders Fb,,,,562041,473584,475997,1511621
4,AK0029ZZ-Federal Building,,,,257227,408335,295269,960831
5,AK0031AA-Us Federal Building,,,,1127267,1124849,1140799,3392915
6,AK0032AA-Fed Bld-Usch-Annex,,,,32250,6191,2706,41147
7,AK0506AH-Alcan Land Port Of E,,,,"-$40,175","-$23,301","-$66,226","-$129,703"
8,AK0514ZZ-Fed Bldg Us Po,,,,25830,17435,66743,110007
9,AK0521AB-Dalton Cache Land Po,,,,"-$6,346",20544,22630,36828
10,AK0526ZZ-Skagway Land Port Of,,,,"-$1,492","-$2,494","-$1,030","-$5,017"
11,AL0003AC-Frank Johnson Annex,,,,437721,593334,414623,1445678
12,AL0004ZZ-Fb-Ct,,,,42898,35334,82230,160461
13,AL0005ZZ-Montgomery Bus Stati,,,,1639,,6529,8168
14,AL0007ZZ-Fb/Ct,,,,,4063,,4063
15,AL0010ZZ-Federal Building-Cou,,,,251664,209981,204174,665819
16,AL0011ZZ-Robert S. Vance Fb-C,,,,332597,94407,437058,864062
17,AL0012ZZ-Hannah House,,,,7352,,2673,10025
18,AL0019ZZ-Fb-Ct,,,,27692,26221,110228,164140
19,AL0028ZZ-Fb-Ct,,,,50021,33937,65472,149430
20,AL0034ZZ-Po-Ct,,,,90721,71189,111702,273612
21,AL0039AB-John A Campbell Usct,,,,231608,168724,229272,629604
22,"AL0043AC-F.M.Johnson,Jr. Fbct",,,,209850,,237333,447183
23,AL0046ZZ-G. W. Andrews Fb-Ct,,,,27145,29164,152751,209060
24,AL0055ZZ-Fb Ct,,,,29183,29228,82057,140468
25,AL0076AB-Federal Building,,,,373075,119975,233898,726948
26,AL0077AB-Combined Parking Fac,,,,23817,18881,27146,69845
27,AL0079ZZ-Ssa Building,,,,858,9441,53721,64020
28,AL0081ZZ-Hugo L Black Usct,,,,,,"-$8,870","-$8,870"
29,AR0021ZZ-Ic Parker Courthouse,,,,130730,72991,186471,390192
30,AR0030RK-Little Rock Uspo/Cou,,,,301595,19185,525582,846362
31,AR0031ZZ-Little Rock Old Uspo,,,,125835,105321,185175,416331
32,AR0057ZZ-Texarkana Uspo/Court,,,,102405,71407,139126,312938
33,AR0062ZZ-Hot Springs Post Off,,,,104027,57188,160741,321956
34,AR0063RK-Little Rock Federal,,,,499021,544680,767581,1811282
35,AR0066ZZ-Helena Post Office/C,,,,57558,48983,184876,291417
36,AR0078ZZ-Pine Bluff Fob/Uspo/,,,,158818,117829,261035,537681
37,AR0079ZZ-Batesville Fob/Uspo/,,,,76080,66448,156219,298746
