Building Number,Building Name,Building,State,A10 Cleaning,A30 Utilities/Fuel,A40 Mechanic Oper-Maint,Grand Total,Overall Satisfaction,Occupancy,Building Sq Ft,Zip Code,Zip
NY0282ZZ,Jacob K. Javits Fb/C,NY0282ZZ-Jacob K. Javits Fb/C,NY,6175913.72,8863042.03,7432841.64,22471797.39,4,5500,2420272,10278-0004,10278
DC0459AF,Reagan Bldg Fob,DC0459AF-Reagan Bldg Fob,DC,3784131.18,5963968.07,5445657.56,15193756.81,3,700,2035880,20004-3002,20004
DC0035ZZ,Dwight D. Eisenhower,DC0035ZZ-Dwight D. Eisenhower,DC,5048002.34,2302708.04,4121234.61,11471944.99,5,1000,54193,20506-0001,20506
MD0778AG,Census Bureau Office,MD0778AG-Census Bureau Office,MD,3626616.21,2439613.37,3444038.85,9510268.43,5,2000,72808,20746-0000,20746
NY0128ZZ,Federal Bldg--201 Va,NY0128ZZ-Federal Bldg--201 Va,NY,2701316.94,2474058.92,3691266.27,8866642.13,1,1278,921306,10014-4811,10014
NY0350ZZ,Ted Weiss Federal Bu,NY0350ZZ-Ted Weiss Federal Bu,NY,2583168.63,3171708.65,3060549.52,8815426.80,2,1200,769122,10007-1823,10007
DC0105ZZ,New Executive Office,DC0105ZZ-New Executive Office,DC,1911076.44,2800399.79,4018283.80,8729760.03,3,1000,34669,20006-0000,20006
NY0351ZZ,Daniel P Moynihan Us,NY0351ZZ-Daniel P Moynihan Us,NY,2919851.27,2239978.49,3375846.10,8535675.86,4,550,754428,10007-1316,10007
CA0154ZZ,"Phillip Burton,Fb Ct","CA0154ZZ-Phillip Burton,Fb Ct",CA,3337912.33,1393942.23,3777803.00,8509657.56,3,1334,1244602,94102-3661,94102
NY0355ZZ,Alfonse M. D'Amato U,NY0355ZZ-Alfonse M. D'Amato U,NY,1875655.51,2674922.12,3135673.32,7686250.95,5,290,655527,11722-4469,11722
DC0028ZZ,William Jefferson Cl,DC0028ZZ-William Jefferson Cl,DC,2395031.40,2538974.30,2395162.43,7329168.13,3,1847,73543,20004-0000,20004
DC0021ZZ,Gsa,DC0021ZZ-Gsa,DC,2703651.21,1698428.32,2892512.36,7294591.89,1,3101,70433,20405-0001,20405
IL0205ZZ,Everett M. Dirksen,IL0205ZZ-Everett M. Dirksen,IL,2386175.12,2049471.43,2727313.74,7162960.29,4,1200,1207187,60604-1702,60604
OH0192ZZ,A J Celebrezze Fb,OH0192ZZ-A J Celebrezze Fb,OH,1974113.98,3898535.72,1278790.67,7151440.37,2,3500,1199328,44199-2001,44199
MD0278ZZ,New Carrollton Fed,MD0278ZZ-New Carrollton Fed,MD,2287437.92,2520262.01,1806508.95,6614208.88,4,4376,109768,20706-1348,20706
HI0011ZZ,Prince J. Kuhio Fob,HI0011ZZ-Prince J. Kuhio Fob,HI,1677671.98,3317342.69,1402425.36,6397440.03,3,1075,696210,96850-0001,96850
MO0127ZZ,Richard Bolling Fb,MO0127ZZ-Richard Bolling Fb,MO,1871148.38,2446661.66,2052259.43,6370069.47,3,1650,1061293,64106-2818,64106
IL0236FC,John C. Kluczynski F,IL0236FC-John C. Kluczynski F,IL,2064222.09,1753826.64,2423231.94,6241280.67,4,2000,1135757,60604-1505,60604
MI0131MC,P V Mcnamara F B,MI0131MC-P V Mcnamara F B,MI,1687672.48,2834171.65,1445201.91,5967046.04,4,996,944513,48226-2523,48226
MA0131ZZ,Jfk Federal Building,MA0131ZZ-Jfk Federal Building,MA,1511670.77,2594253.82,1814740.40,5920664.99,4,1939,839232,02203-0002,02203
DC0083ZZ,Orville Wright,DC0083ZZ-Orville Wright,DC,2496991.29,1457167.55,1959197.88,5913356.72,3,4300,84738,20591-0001,20591
